cell,formula,cached_value
C194,='Material Rates_Master'!B23,ea
E194,='Material Rates_Master'!D23*$M$16,301.4196
F194,=E194*D194,0
B195,,180*125 EF TEE
C195,='Material Rates_Master'!B24,ea
E195,='Material Rates_Master'!D24*$M$16,168.53939999999997
F195,=E195*D195,0
B196,,200*180 EF Reducer
C196,='Material Rates_Master'!B25,ea
E196,='Material Rates_Master'!D25*$M$16,173.35559999999998
F196,=E196*D196,0
B197,,180*125 EF Reducer
C197,='Material Rates_Master'!B26,ea
D197,,5
E197,='Material Rates_Master'!D26*$M$16,82.938
F197,=E197*D197,414.69
B198,,180*32 EF Reducer
C198,='Material Rates_Master'!B27,ea
D198,,1
E198,,65
F198,=E198*D198,65
B199,,"200PE*8""(200m) - MaxiStub W/Backing Ring"
C199,='Material Rates_Master'!B27,ea
E199,='Material Rates_Master'!D27*$M$16,472.443
F199,=E199*D199,0
B200,,"180PE*6""(150mm) - MaxiStub W/Backing Ring"
C200,='Material Rates_Master'!B28,ea
E200,='Material Rates_Master'!D28*$M$16,179.0826
F200,=E200*D200,0
B201,,"125PE*4"" (100mm) - MaxiStub W/Backing Ring"
C201,='Material Rates_Master'!B29,ea
E201,='Material Rates_Master'!D29*$M$16,127.88459999999999
F201,=E201*D201,0
B202,,180mm PE x 150mm GALV ADAPTER - PLASSON Brand 
C202,='Material Rates_Master'!B30,ea
E202,='Material Rates_Master'!D30*$M$16,432.20219999999995
F202,=E202*D202,0
B203,,125mm PE x 100mm GALV ADAPTER - PLASSON Brand 
C203,='Material Rates_Master'!B31,ea
D203,,5
E203,='Material Rates_Master'!D31*$M$16,281.6718
F203,=E203*D203,1408.3590000000002
C204,='Material Rates_Master'!B32,0
E204,='Material Rates_Master'!D32*$M$16,0
F204,=E204*D204,0
B205,,180mm PE x 150mm GALV ADAPTER
C205,='Material Rates_Master'!B33,ea
E205,='Material Rates_Master'!D33*$M$16,435.67979999999994
F205,=E205*D205,0
B206,,125mm PE x 100mm GALV ADAPTER
C206,='Material Rates_Master'!B34,ea
E206,='Material Rates_Master'!D34*$M$16,277.97339999999997
F206,=E206*D206,0
B207,,200 Long SPIG 45DFeg Bend
C207,='Material Rates_Master'!B35,ea
E207,='Material Rates_Master'!D35*$M$16,94.5852
F207,=E207*D207,0
B208,,180 Long SPIG 45DFeg Bend
C208,='Material Rates_Master'!B36,ea
E208,='Material Rates_Master'!D36*$M$16,88.95479999999998
F208,=E208*D208,0
B209,,125 Long SPIG 45DFeg Bend
C209,='Material Rates_Master'!B37,ea
E209,='Material Rates_Master'!D37*$M$16,53.48879999999999
F209,=E209*D209,0
B210,,200 Long SPIG 90DFeg Bend
C210,='Material Rates_Master'!B38,ea
E210,='Material Rates_Master'!D38*$M$16,118.9146
F210,=E210*D210,0
B211,,180 Long SPIG 90DFeg Bend
C211,='Material Rates_Master'!B39,ea
E211,='Material Rates_Master'!D39*$M$16,93.9918
F211,=E211*D211,0
B212,,125 Long SPIG 90DFeg Bend
C212,='Material Rates_Master'!B40,ea
E212,='Material Rates_Master'!D40*$M$16,43.67699999999999
F212,=E212*D212,0
B213,,200 Long SPIG TEE
C213,='Material Rates_Master'!B41,ea
E213,='Material Rates_Master'!D41*$M$16,176.14319999999998
F213,=E213*D213,0
B214,,180 Long SPIG TEE
C214,='Material Rates_Master'!B42,ea
E214,='Material Rates_Master'!D42*$M$16,157.62359999999998
F214,=E214*D214,0
B215,,125 Long SPIG TEE
C215,='Material Rates_Master'!B43,ea
E215,='Material Rates_Master'!D43*$M$16,52.79879999999999
F215,=E215*D215,0
B216,,200*180 Long SPIG TEE
C216,='Material Rates_Master'!B44,ea
E216,='Material Rates_Master'!D44*$M$16,253.20239999999995
F216,=E216*D216,0
B217,,200*125 Long SPIG TEE
C217,='Material Rates_Master'!B45,ea
E217,='Material Rates_Master'!D45*$M$16,265.5534
F217,=E217*D217,0
B218,,180*125 Long SPIG TEE
C218,='Material Rates_Master'!B46,ea
E218,='Material Rates_Master'!D46*$M$16,256.27979999999997
F218,=E218*D218,0
B219,,200*180 Long SPIG Reducer
C219,='Material Rates_Master'!B47,ea
E219,='Material Rates_Master'!D47*$M$16,77.0592
F219,=E219*D219,0
B220,,180*125 Long SPIG Reducer
C220,='Material Rates_Master'!B48,ea
E220,='Material Rates_Master'!D48*$M$16,54.965399999999995
F220,=E220*D220,0
B221,,75PE 50 CU TRANSITION
C221,,ea
D221,,1
E221,,45
F221,=E221*D221,45
B222,,32 PE 25 CU TRANSITION 
C222,,ea
D222,,1
E222,,35
F222,=E222*D222,35
C223,='Material Rates_Master'!B49,0
E223,='Material Rates_Master'!D49,0
F223,=E223*D223,0
B224,,200 FL DICL Sluice Valve
C224,='Material Rates_Master'!B50,ea
E224,='Material Rates_Master'!D50,679.41
F224,=E224*D224,0
B225,,150 FL DICL Sluice Valve
C225,='Material Rates_Master'!B51,ea
E225,='Material Rates_Master'!D51,323.53
F225,=E225*D225,0
B226,,100 FL DICL Sluice Valve
C226,='Material Rates_Master'!B52,ea
E226,='Material Rates_Master'!D52,202.94
F226,=E226*D226,0
B227,,Valve Spindle Riser - 600Long
C227,='Material Rates_Master'!B53,ea
E227,='Material Rates_Master'!D53,136.94
F227,=E227*D227,0
B228,,"Valve Box - Cast Iron Trafficable - Rectangle Type ""V"""
C228,='Material Rates_Master'!B54,ea
E228,='Material Rates_Master'!D54,123.53
F228,=E228*D228,0
B229,,"Valve Box - Non-Trafficable - Plastic Surround with CI Drop In ""V"""
C229,='Material Rates_Master'!B55,ea
E229,='Material Rates_Master'!D55,98.82
F229,=E229*D229,0
C230,='Material Rates_Master'!B56,0
E230,='Material Rates_Master'!D56,0
F230,=E230*D230,0
B231,,200*150mm DICL FL Reducer
C231,='Material Rates_Master'!B57,ea
E231,='Material Rates_Master'!D57,291.18
F231,=E231*D231,0
B232,,200*100mm DICL FL Reducer
C232,='Material Rates_Master'!B58,ea
E232,='Material Rates_Master'!D58,330
F232,=E232*D232,0
B233,,150*100mm DICL FL Reducer
C233,='Material Rates_Master'!B59,ea
E233,='Material Rates_Master'!D59,156
F233,=E233*D233,0
B234,,150mm DICL FL * SP Adapter
C234,='Material Rates_Master'!B60,ea
E234,='Material Rates_Master'!D60,106.24
F234,=E234*D234,0
B235,,100mm DICL FL * SP Adapter
C235,='Material Rates_Master'!B61,ea
E235,='Material Rates_Master'!D61,70.59
F235,=E235*D235,0
B236,,200mm DICL FL 90Deg Bend
C236,='Material Rates_Master'!B62,ea
E236,='Material Rates_Master'!D62,516.35
F236,=E236*D236,0
B237,,150mm DICL FL 90Deg Bend
C237,='Material Rates_Master'!B63,ea
E237,='Material Rates_Master'!D63,198.88
F237,=E237*D237,0
B238,,100mm DICL FL 90Deg Bend
C238,='Material Rates_Master'!B64,ea
E238,='Material Rates_Master'!D64,108.71
F238,=E238*D238,0
B239,,200mm DICL FL TEE
C239,='Material Rates_Master'!B65,ea
