cell,formula,cached_value
D273,,ea
F273,=C273*E273,0
B274,,PVC Round x Rectangle adapt - 90mm - 100*75
D274,,ea
F274,=C274*E274,0
B275,,Flexible Coupler - (flexseal/Fernco) - 225-250mm
D275,,ea
E275,,110
F275,=C275*E275,0
B276,,Flexible Coupler - (flexseal/Fernco) - 750-200mm
D276,,ea
F276,=C276*E276,0
B277,,Flexible Coupler - (flexseal/Fernco) - 140-165mm
D277,,ea
F277,=C277*E277,0
B278,,Flexible Coupler - (flexseal/Fernco) - 125-150mm
D278,,ea
F278,=C278*E278,0
B279,,Flexible Coupler - (flexseal/Fernco) - 110-115mm
D279,,ea
F279,=C279*E279,0
B280,,MEGA Poxy (2 Part) - 4L
D280,,ea
E280,,143.89
F280,=C280*E280,0
B281,,MEGA Poxy (2 Part) - 20L
D281,,ea
E281,,381.11
F281,=C281*E281,0
B282,,Bidim Geofabric Roll = 2m x 50m+>?   (allow 1 for agg pipe )
D282,,ea
E282,,78.67
F282,=C282*E282,0
B283,,Glue - Blue - 4Ltr
D283,,ea
E283,,28.05
F283,=C283*E283,0
B284,,Primer - Red - 4Ltr
D284,,ea
E284,,23.85
F284,=C284*E284,0
B285,,Manhole Sealant Mastic 3.6m 
D285,,ea
E285,,20
F285,=C285*E285,0
B286,,Concrete Bag - Rapid Set
D286,,ea
E286,,9.68
F286,=C286*E286,0
B287,,Concrete Bag - Regular
D287,,ea
E287,,9.35
F287,=C287*E287,0
B288,,Mortar Mix Bag - Regular
D288,,ea
E288,,8.63
F288,=C288*E288,0
B289,,General Purpose Cement Bag
D289,,ea
E289,,8.71
F289,=C289*E289,0
B290,,Sand & Cement Bag
D290,,ea
E290,,9
F290,=C290*E290,0
B291,,Bitumen Cold Mix Bag
D291,,ea
E291,,25.42
F291,=C291*E291,0
B292,,Detectable STORMWATER Marker Tape - 250m
D292,,ea
E292,,75
F292,=C292*E292,0
B293,,Form Ply & Sand Bags
D293,,item
E293,,2800
F293,=C293*E293,0
F294,=SUM(F7:F293),424486.35
E295,,Contingency
F295,,0.1
E296,,Freight HDPE PIPE 
F296,,3000
