cell,formula,cached_value
C237,='Material Rates_Master'!B67,ea
E237,='Material Rates_Master'!D67,128.24
F237,=E237*D237,0
B238,,200*150*200 DICL FL TEE
C238,='Material Rates_Master'!B68,ea
E238,='Material Rates_Master'!D68,536.76
F238,=E238*D238,0
B239,,200*100*200 DICL FL TEE
C239,='Material Rates_Master'!B69,ea
E239,='Material Rates_Master'!D69,576.47
F239,=E239*D239,0
B240,,150-100-150 DICL FL TEE
C240,='Material Rates_Master'!B70,ea
E240,='Material Rates_Master'!D70,198.82
F240,=E240*D240,0
B241,,200mm DICL FL Pipe @ 1000
C241,='Material Rates_Master'!B71,ea
E241,='Material Rates_Master'!D71,898.82
F241,=E241*D241,0
B242,,200mm DICL FL Pipe @ 600
C242,='Material Rates_Master'!B72,ea
E242,='Material Rates_Master'!D72,640
F242,=E242*D242,0
B243,,200mm DICL FL Pipe @ 300
C243,='Material Rates_Master'!B73,ea
E243,='Material Rates_Master'!D73,355.29
F243,=E243*D243,0
B244,,150mm DICL FL Pipe @ 1000
C244,='Material Rates_Master'!B74,ea
