cell,formula,cached_value
B196,,"125PE*4"" (100mm) - MaxiStub W/Backing Ring"
C196,='Material Rates_Master'!B29,ea
E196,='Material Rates_Master'!D29*$M$16,127.88459999999999
F196,=E196*D196,0
B197,,180mm PE x 150mm GALV ADAPTER - PLASSON Brand 
C197,='Material Rates_Master'!B30,ea
E197,='Material Rates_Master'!D30*$M$16,432.20219999999995
F197,=E197*D197,0
B198,,125mm PE x 100mm GALV ADAPTER - PLASSON Brand 
C198,='Material Rates_Master'!B31,ea
D198,,1
E198,='Material Rates_Master'!D31*$M$16,281.6718
F198,=E198*D198,281.6718
C199,='Material Rates_Master'!B32,0
E199,='Material Rates_Master'!D32*$M$16,0
F199,=E199*D199,0
B200,,180mm PE x 150mm GALV ADAPTER
C200,='Material Rates_Master'!B33,ea
E200,='Material Rates_Master'!D33*$M$16,435.67979999999994
F200,=E200*D200,0
B201,,125mm PE x 100mm GALV ADAPTER
C201,='Material Rates_Master'!B34,ea
E201,='Material Rates_Master'!D34*$M$16,277.97339999999997
F201,=E201*D201,0
B202,,200 Long SPIG 45DFeg Bend
C202,='Material Rates_Master'!B35,ea
E202,='Material Rates_Master'!D35*$M$16,94.5852
F202,=E202*D202,0
B203,,180 Long SPIG 45DFeg Bend
C203,='Material Rates_Master'!B36,ea
E203,='Material Rates_Master'!D36*$M$16,88.95479999999998
F203,=E203*D203,0
B204,,125 Long SPIG 45DFeg Bend
C204,='Material Rates_Master'!B37,ea
E204,='Material Rates_Master'!D37*$M$16,53.48879999999999
F204,=E204*D204,0
B205,,200 Long SPIG 90DFeg Bend
C205,='Material Rates_Master'!B38,ea
E205,='Material Rates_Master'!D38*$M$16,118.9146
F205,=E205*D205,0
B206,,180 Long SPIG 90DFeg Bend
C206,='Material Rates_Master'!B39,ea
E206,='Material Rates_Master'!D39*$M$16,93.9918
F206,=E206*D206,0
B207,,125 Long SPIG 90DFeg Bend
C207,='Material Rates_Master'!B40,ea
E207,='Material Rates_Master'!D40*$M$16,43.67699999999999
F207,=E207*D207,0
B208,,200 Long SPIG TEE
C208,='Material Rates_Master'!B41,ea
E208,='Material Rates_Master'!D41*$M$16,176.14319999999998
F208,=E208*D208,0
B209,,180 Long SPIG TEE
C209,='Material Rates_Master'!B42,ea
E209,='Material Rates_Master'!D42*$M$16,157.62359999999998
F209,=E209*D209,0
B210,,125 Long SPIG TEE
C210,='Material Rates_Master'!B43,ea
E210,='Material Rates_Master'!D43*$M$16,52.79879999999999
F210,=E210*D210,0
B211,,200*180 Long SPIG TEE
C211,='Material Rates_Master'!B44,ea
E211,='Material Rates_Master'!D44*$M$16,253.20239999999995
F211,=E211*D211,0
B212,,200*125 Long SPIG TEE
C212,='Material Rates_Master'!B45,ea
E212,='Material Rates_Master'!D45*$M$16,265.5534
F212,=E212*D212,0
B213,,180*125 Long SPIG TEE
C213,='Material Rates_Master'!B46,ea
E213,='Material Rates_Master'!D46*$M$16,256.27979999999997
F213,=E213*D213,0
B214,,200*180 Long SPIG Reducer
C214,='Material Rates_Master'!B47,ea
E214,='Material Rates_Master'!D47*$M$16,77.0592
F214,=E214*D214,0
B215,,180*125 Long SPIG Reducer
C215,='Material Rates_Master'!B48,ea
E215,='Material Rates_Master'!D48*$M$16,54.965399999999995
F215,=E215*D215,0
C216,='Material Rates_Master'!B49,0
E216,='Material Rates_Master'!D49,0
F216,=E216*D216,0
B217,,200 FL DICL Sluice Valve
C217,='Material Rates_Master'!B50,ea
E217,='Material Rates_Master'!D50,679.41
F217,=E217*D217,0
B218,,150 FL DICL Sluice Valve
C218,='Material Rates_Master'!B51,ea
E218,='Material Rates_Master'!D51,323.53
F218,=E218*D218,0
B219,,100 FL DICL Sluice Valve
C219,='Material Rates_Master'!B52,ea
E219,='Material Rates_Master'!D52,202.94
F219,=E219*D219,0
B220,,Valve Spindle Riser - 600Long
C220,='Material Rates_Master'!B53,ea
E220,='Material Rates_Master'!D53,136.94
F220,=E220*D220,0
B221,,"Valve Box - Cast Iron Trafficable - Rectangle Type ""V"""
C221,='Material Rates_Master'!B54,ea
